,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-01 11:10:39.900,,,,,,
2017-05-01 11:10:40.900,,,,,,
2017-05-01 11:10:41.900,,,,,,
2017-05-01 11:10:42.900,,,,,,
2017-05-01 11:10:43.900,,,,,,
2017-05-01 11:10:44.900,,,,,,
2017-05-01 11:10:45.900,,,,,,
2017-05-01 11:10:46.900,,,,,,
2017-05-01 11:10:47.900,,,,,,
2017-05-01 11:10:48.900,,,,,,
2017-05-01 11:10:49.900,,,,,,
2017-05-01 11:10:50.900,,,,,,
2017-05-01 11:10:51.900,,,,,,
2017-05-01 11:10:52.900,,,,,,
2017-05-01 11:10:53.900,,,,,,
2017-05-01 11:10:54.900,,,,,,
2017-05-01 11:10:55.900,,,,,,
2017-05-01 11:10:56.900,,,,,,
2017-05-01 11:10:57.900,,,,,,
2017-05-01 11:10:58.900,,,,,,
2017-05-01 11:10:59.900,,,,,,
2017-05-01 11:11:00.900,,,,,,
2017-05-01 11:11:01.900,,,,,,
2017-05-01 11:11:02.900,,,,,,
2017-05-01 11:11:03.900,,,,,,
2017-05-01 11:11:04.900,,,,,,
2017-05-01 11:11:05.900,,,,,,
2017-05-01 11:11:06.900,,,,,,
2017-05-01 11:11:07.900,,,,,,
2017-05-01 11:11:08.900,,,,,,
2017-05-01 11:11:09.900,,,,,,
2017-05-01 11:11:10.900,,,,,,
2017-05-01 11:11:11.900,,,,,,
2017-05-01 11:11:12.900,,,,,,
2017-05-01 11:11:13.900,,,,,,
2017-05-01 11:11:14.900,,,,,,
2017-05-01 11:11:15.900,,,,,,
2017-05-01 11:16:17.900,,,,,,
2017-05-01 11:16:18.900,,,,,,
2017-05-01 11:16:19.900,,,,,,
2017-05-01 11:16:20.900,,,,,,
2017-05-01 11:16:21.900,,,,,,
2017-05-01 11:16:22.900,,,,,,
2017-05-01 11:16:23.900,,,,,,
2017-05-01 11:16:24.900,,,,,,
2017-05-01 11:16:25.900,,,,,,
2017-05-01 11:16:26.900,,,,,,
2017-05-01 11:16:27.900,,,,,,
2017-05-01 11:16:28.900,,,,,,
2017-05-01 11:16:29.900,,,,,,
2017-05-01 11:16:30.900,,,,,,
2017-05-01 11:16:31.900,,,,,,
2017-05-01 11:16:32.900,,,,,,
2017-05-01 11:16:33.900,,,,,,
2017-05-01 11:16:34.900,,,,,,
2017-05-01 11:16:35.900,,,,,,
2017-05-01 11:16:36.900,,,,,,
2017-05-01 11:16:37.900,,,,,,
2017-05-01 11:16:38.900,,,,,,
2017-05-01 11:16:39.900,,,,,,
2017-05-01 11:16:40.900,,,,,,
2017-05-01 11:16:41.900,,,,,,
2017-05-01 11:16:42.900,,,,,,
2017-05-01 11:16:43.900,,,,,,
2017-05-01 11:16:44.900,,,,,,
2017-05-01 11:16:45.900,,,,,,
2017-05-01 11:16:46.900,,,,,,
2017-05-01 11:16:47.900,,,,,,
2017-05-01 11:16:48.900,,,,,,
2017-05-01 11:16:49.900,,,,,,
2017-05-01 11:16:50.900,,,,,,
2017-05-01 11:16:51.900,,,,,,
2017-05-01 11:16:52.900,,,,,,
2017-05-01 11:16:53.900,,,,,,
2017-05-01 11:16:54.900,,,,,,
2017-05-01 11:16:55.900,,,,,,
2017-05-01 11:16:56.900,,,,,,
2017-05-01 11:16:57.900,,,,,,
2017-05-01 11:16:58.900,,,,,,
2017-05-01 11:16:59.900,,,,,,
2017-05-01 11:17:00.900,,,,,,
2017-05-01 11:17:01.900,,,,,,
2017-05-01 11:17:02.900,,,,,,
2017-05-01 11:17:03.900,,,,,,
2017-05-01 11:17:04.900,,,,,,
2017-05-01 11:17:05.900,,,,,,
2017-05-01 11:17:06.900,,,,,,
2017-05-01 11:17:07.900,,,,,,
2017-05-01 11:17:08.900,,,,,,
2017-05-01 11:17:09.900,,,,,,
2017-05-01 11:17:10.900,,,,,,
2017-05-01 11:17:11.900,,,,,,
2017-05-01 11:17:12.900,,,,,,
2017-05-01 11:17:13.900,,,,,,
2017-05-01 11:17:14.900,,,,,,
2017-05-01 11:17:15.900,,,,,,
2017-05-01 11:17:16.900,,,,,,
2017-05-01 11:17:17.900,,,,,,
2017-05-01 11:17:18.900,,,,,,
2017-05-01 11:17:19.900,,,,,,
2017-05-01 11:17:20.900,,,,,,
2017-05-01 11:17:21.900,,,,,,
2017-05-01 11:17:22.900,,,,,,
2017-05-01 11:17:23.900,,,,,,
2017-05-01 11:17:24.900,,,,,,
2017-05-01 11:17:25.900,,,,,,
2017-05-01 11:17:26.900,,,,,,
2017-05-01 11:17:27.900,,,,,,
2017-05-01 11:17:28.900,,,,,,
2017-05-01 11:17:29.900,,,,,,
2017-05-01 11:17:30.900,,,,,,
2017-05-01 11:17:31.900,,,,,,
2017-05-01 11:17:32.900,,,,,,
2017-05-01 11:17:33.900,,,,,,
2017-05-01 11:17:34.900,,,,,,
2017-05-01 11:17:35.900,,,,,,
2017-05-01 11:17:36.900,,,,,,
2017-05-01 11:17:37.900,,,,,,
2017-05-01 11:17:38.900,,,,,,
2017-05-01 11:17:39.900,,,,,,
2017-05-01 11:17:40.900,,,,,,
2017-05-01 11:17:41.900,,,,,,
2017-05-01 11:17:42.900,,,,,,
2017-05-01 11:17:43.900,,,,,,
2017-05-01 11:17:44.900,,,,,,
2017-05-01 11:17:45.900,,,,,,
2017-05-01 11:17:46.900,,,,,,
2017-05-01 11:17:47.900,,,,,,
2017-05-01 11:17:48.900,,,,,,
2017-05-01 11:17:49.900,,,,,,
2017-05-01 11:17:50.900,,,,,,
2017-05-01 11:17:51.900,,,,,,
2017-05-01 11:19:28.900,,,,,,
2017-05-01 11:19:29.900,,,,,,
2017-05-01 11:19:30.900,,,,,,
2017-05-01 11:19:31.900,,,,,,
2017-05-01 11:19:32.900,,,,,,
2017-05-01 11:19:33.900,,,,,,
2017-05-01 11:19:34.900,,,,,,
2017-05-01 11:19:35.900,,,,,,
2017-05-01 11:19:36.900,,,,,,
2017-05-01 11:19:37.900,,,,,,
2017-05-01 11:19:38.900,,,,,,
2017-05-01 11:19:39.900,,,,,,
2017-05-01 11:19:40.900,,,,,,
2017-05-01 11:19:41.900,,,,,,
2017-05-01 11:19:42.900,,,,,,
2017-05-01 11:19:43.900,,,,,,
2017-05-01 11:19:44.900,,,,,,
2017-05-01 11:19:45.900,,,,,,
2017-05-01 11:19:46.900,,,,,,
2017-05-01 11:19:47.900,,,,,,
2017-05-01 11:19:48.900,,,,,,
2017-05-01 11:19:49.900,,,,,,
2017-05-01 11:19:50.900,,,,,,
2017-05-01 11:19:51.900,,,,,,
2017-05-01 11:19:52.900,,,,,,
2017-05-01 11:19:53.900,,,,,,
2017-05-01 11:19:54.900,,,,,,
2017-05-01 11:19:55.900,,,,,,
2017-05-01 11:19:56.900,,,,,,
2017-05-01 11:19:57.900,,,,,,
2017-05-01 11:19:58.900,,,,,,
2017-05-01 11:19:59.900,,,,,,
2017-05-01 11:20:00.900,,,,,,
2017-05-01 11:20:01.900,,,,,,
2017-05-01 11:20:02.900,,,,,,
2017-05-01 11:20:03.900,,,,,,
2017-05-01 11:20:04.900,,,,,,
2017-05-01 11:20:05.900,,,,,,
2017-05-01 11:20:06.900,,,,,,
2017-05-01 11:20:07.900,,,,,,
2017-05-01 11:20:08.900,,,,,,
2017-05-01 11:20:09.900,,,,,,
2017-05-01 11:20:10.900,,,,,,
2017-05-01 11:20:11.900,,,,,,
2017-05-01 11:20:12.900,,,,,,
2017-05-01 11:20:13.900,,,,,,
2017-05-01 11:20:14.900,,,,,,
2017-05-01 11:20:15.900,,,,,,
